id,text,political,racial/ethnic,religious,gender/sexual,other,text_en
zho_e59ce789a1d83d91cb7d362efaa3bf23,好久都没有见过那么干净的白人班级了，一个黑乐色都没有,0,1,0,0,0,It's been a long time since I've seen such a clean white class.
zho_ea3ef5567698fc40fa631baf7f697a16,楼主这讽刺太有力度把跪虫族和国际鬼子虫类及其它们后代虫混描写淋漓尽致,0,1,0,0,0,The sarcasm of the owner is too strong to describe the kneeling worms and the international bugs and their progeny.
zho_b73779673957f6dab5688c27a6747458,你这样说让那些标榜找个外国对象倍有面的人还怎么装b�,0,1,0,0,0,How do you make a guy who's got a face for a foreign character do that?
zho_f7164a14baafbcb6ec387b0217a1c766,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,0,0,0,1,0,"Let's just say I only care about women around me, like wives and daughters, and other women are my business.v"
zho_1be506c572b805494787f548671a5bb7,基佬还说之前视频里的不是它，它都说照片是它爆出来的了。,0,0,0,1,0,The faggot also said it wasn't in the video. It said it blew up.
zho_33bdf0afd970adb37e3d6a5269ef7cf5,盗版真是恶心，我从来都不黑人的，都想黑了,0,1,0,0,0,Pirates are disgusting. I've never been black. I want to black.
zho_34079348a6559446c580bd538abc4507,别的不说，我在知乎骂黑人被小黑屋，删评论好多次了，,0,1,0,0,0,"I don't want to tell you anything else. I've been scolding black people in the dark, and I've been saying it so many times."
zho_d9a2d81c9768a4611bc5f723b04e2fba,白种人于黄种人之间的战争建议修改成西方强盗和东亚人民的战争。写的很好 赞了,0,1,0,0,0,The war between the whites and the yellows suggested changing it to war between the Western bandits and the East Asian people.
zho_4957b7ae1d892ec97a7effa0bc3ab20a,所谓我吃的盐比你吃的饭还多这句话真的很映衬他们,0,0,0,0,1,It's true that I eat more salt than you eat.
zho_e5d3c445a681d2eb70edd5fdff19b362,是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,0,0,0,1,0,It's the man who defines the man who favors the woman as a dog and what he likes to be a dog.
zho_fda85e7cc47d5110ef4c8c1de32b9ad0,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,0,0,0,1,0,"What's with the stereotypes of the so-called ""girls in arts, boys in science""? I'm special in paranoia."
zho_ad34ab38ecfd844214c0fda2135c2dbc,其实我觉得台湾挺落后的，表面上明国和外国那一套多，人挺落后。,1,1,0,0,0,"In fact, I think that Taiwan is a bit behind, and that there are a lot of countries and foreign countries on the surface, and that there are a lot of people behind."
zho_4e20de2b89fb4173b604a506e5002aa3,感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,0,0,0,0,1,It's too early to thank you. I wish O of Koda had known there was a temperature before he died.
zho_3d06c710b1d5f0f2776ca6f7063f91e0,畒�乱叫而已，不用搭理牠，毕竟听不懂人话，jb口球就行了[表情],0,0,0,0,1,Don't worry about it. You don't understand people. Jb is fine.
zho_83bb2bb484ba64207f8630ae876e8001,这波自杀真亏，为啥没把那个评论区的那几个女权们带走。,0,0,0,1,0,Why didn't you take the women's rights in that comment area?
zho_81955fe5f6115b68cc0b635af6b600ce,摩洛哥不知什么人种，好像穆斯林吧，从摩洛哥带了混血宝宝回来，唉，不知道她后面还能找到老公么,0,1,0,0,0,"Morocco doesn't know any kind of people, like Muslims, brought a hybrid baby back from Morocco."
zho_315eccacdf16b27d2f54e353e27a1670,这个西藏画的太无耻了。美国很多有驻军的地方都不算国土。西藏口头认个大哥就可以无耻的算成疆域内了？,1,1,0,0,0,This Tibetan painting is so shameful. A lot of places in the U.S. that have a military presence are not part of the national territory.
zho_c72868e1ba395995905e01d050e94c7a,你这不是地域黑，你这是赤裸裸的地域黑嘻嘻嘻，我四川男人那么多让您如此说也是无语了,0,1,0,0,0,"You're not dark, you're naked, you're black, you're black, I've got so many men in Sichuan that you can't say anything."
zho_5ed5100ffb3fca61b709f3b090f83497,现在网络上有多少人都宣传自己为男性考虑，会独立思考，结果看到小作文就脑子都不要了。,0,0,0,1,0,"How many people on the Internet now advocate for their male preference, think independently, and then lose their minds when they see small essays."
zho_a6e672af7e827b3896546041278ceecd,说的很对。但是吃屎的也不能要吃尿的强行认同吧！,1,0,0,0,0,You're right. But you don't have to take a piss for a man who eats shit.
zho_0f46cb6ae581d1b70bcf57c755e000ce,世界最早大规模贩卖黑人的是中世纪的阿拉伯人一一北部非洲被阿拉伯骑兵武装挨家挨户屠杀殆尽！所以现代埃及利比亚等北非国家都是阿拉伯人种，伊斯兰世界！！,0,1,1,0,0,"The first large-scale black trade in the world was in the medieval Arab one-northern Africa, where Arab cavalry troops were killed by house-to-house killings! That is why North African countries like Libya in modern Egypt are all Arabs, the Islamic world!"
zho_92040d61e3def914f52d53755baed5ad,我不反对种族歧视，我反对中国人被歧视，所有的政治正确不过是利益在驱动罢了,1,1,0,0,0,I'm not against racial discrimination. I'm against discrimination against the Chinese. All political correctness is driven by interests.
zho_6eb515316b1e222c993868f0d6df916e,我看抖音，有个男的在非洲有了好几个黑小孩。底下的评论让他多下点种�,0,1,0,0,0,I saw a guy with a couple of black kids in Africa.
zho_93d7ae16f165b8a338bb8bed6df72b20,清廷命令出不了紫禁城，山西的义军是你镇压的？ 传统汉地尚且没有全部独立，东北，蒙古，新疆，西藏等地听你的？,1,0,0,0,0,"Qingjing didn't order the Forbidden City, you repressed Shanxi's jewish army, not all independence, northeast, Mongolia, Xinjiang, Tibet, etc.?"
zho_75eb95994543c3ff8cf3d688a8132f46,不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,0,0,0,1,0,Brothers who don't want to marry women can live happily together.
zho_606f4e1edda6f4d29d23f76e002b1a84,认为“同性恋＝娘”真的蠢。你但凡了解下真男同性恋的普遍审美都不敢这么说,0,0,0,1,0,"It's stupid to think ""gay = mother."" You don't say that to anyone who knows about gay people."
zho_3172570b43bb72f8e064ae8ada5ee2bf,我补充一下，男的是不是可以坦白自己的pc史，这不比交往一个外国女友严重？,0,0,0,1,0,"Let me add, can a man confess his pc history? It's not as bad as dating a foreign girlfriend?"
zho_e45b12bb96e7c361c3f38451622ad633,把女人等同于阴道，为了外人眼中所谓的贞洁，不惜让自己的亲生女儿们遭遇如此酷刑，这个父权社会真是恶心透了,0,0,0,1,0,It's disgusting for a patriarchal society to equate a woman with a vagina and to let its own daughters suffer such torture for the sake of the so-called chastity in the eyes of others.
zho_9ed14796e2f66f0cca8049e914628407,我觉得玩家几乎全程是在看仿生人干什么 所以这个游戏应该是黑人民权运动的未来版 人类舆论也只是作为结果 另外少正卯粉说一句 儒教一直是保守性思想 儒教教育不会接受仿生人,0,1,1,0,0,"I think the player's almost always looking at what he's doing, so it's supposed to be the future version of the Black People's Rights movement, and human opinion is just the result, and let's just say that Confucianism has always been conservative, and Confucianism has never been accepted as a copycat."
zho_26fcbe81d68159d27bb3d3b9d457c71c,后面几张沈月的全身照一看就是黑图 我一个路人都看不下去了 通稿黑人？还是选择性智障？,0,1,0,0,0,The rest of Shen Moon's whole body looks like a black map.
zho_f8cd0adf6b991292024d40624839c9d9,上海人给丈母娘洗内裤��老北京通天纹人上人���,0,1,0,0,0,The Shanghais wash their panties for their mother-in-law.
zho_ae83f4e22b534c378892d73344eb913b,我有一计：让她们出力禁止亲子鉴定短视的人会以为这对女人好，有远见的人会发现这解放了男人,0,0,0,1,0,"I've got a plan: those who let them work to prevent their son from identifying shortsightedness will think it's good for women, and those with vision will find it freeing men."
zho_4307eae05da199d4f36c16e565f17091,现在不大敢看奥斯卡获奖的电影，主旋律比某大国还主旋律。。。黑人万岁，lgbt万岁，女权万岁,1,1,0,1,0,"We don't have the guts to watch Oscar's award-winning movie right now, and the main melody is bigger than that of a big country. Long live the blacks, long live the lgbt, long live the feminists."
zho_65dab1f4dc3102bf4044f0939d642973,智商高有什么用？在国境外的人面前照样是土包子，什么都不知道。,0,1,0,0,0,What's the use of high IQs? People outside the country are dirtbags. They don't know anything.
zho_a536f8de0345cbe0607693fd0a4880a0,我不仅歧视黑人也歧视白人，我也不知道为什么，可能骨子里有对这些种族的厌恶和偏见吧,0,1,0,0,0,"I don't just discriminate against blacks and whites, and I don't know why."
zho_1c64f35c8c18dcce3db752e459f1f994,长三角某些媒体带坏了风向，经常以高高在上的姿态评价外省人，这些媒体才是地域黑的源头,0,1,0,0,1,"Some of the media in the long triangle, which are the source of the blackness of the geography, have a bad wind and often evaluate the people of the provinces in high-profile positions."
zho_d6271b0ca57f4a0d3c99412f90a2921d,这就是剩女被剩下来的原因，都去竞争那2%的,0,0,0,1,0,That's why the girls are left to compete for the 2%.
zho_553fbf49c2fc26dcf7d3066487cfac2c,对对，越是大城市，越是开放的地方，就越是多。相反那些比较落后的地区到还不多,0,0,0,0,1,"Yeah, the bigger the city, the more open it is. On the contrary, the less backward the area is."
zho_940507859ba622add29a9e288d59ea7b,至少中国法律规定和14以下女性才算犯罪。急着抨击中国女权之前先把法律条文翻一翻，或者初中政治课别睡觉,0,0,0,1,0,At least Chinese law makes it a crime for women below 14.
zho_5081c0b13245f70ac127a732e426b31d,不会说话就照照镜子看看你自己，把自己的过错一切推给国家是懦弱与无能。,1,0,0,0,0,"If you do not speak, look at yourself in the mirror. It is cowardice and incompetence to push your faults into the hands of the State."
zho_f1e7d52e475165057625c9da2dc07165,能让女性灭绝啊，不需要女人了，多好啊，这个世界都清净了,0,0,0,1,0,I don't need a woman. It's nice to have a clean world.
zho_7b6868e8103ea195cec25b6c65eb7dad,看到台湾推特经常叫大陆支那的，说的好像他们没被日本祸害过一样。这种词语都能用在自己人身上,1,0,0,0,0,It's like they've never been harmed by Japan. It's a term that can be used on your own people.
zho_813cc64ff5e095404dd2eab93c3bcbae,男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,0,0,0,1,0,"Men's rights are more rational, old man. If it's men's rights, it's probably dead."
zho_ca18a4e21c48afb711cbbdf4ea095042,反对种族入侵！也反对国人向外移民，哪里人就住哪里，,0,1,0,0,0,"Against ethnic invasion! Against emigration, wherever people live."
zho_9ae5be6a5815ff23c51abda5d0229672,补充一下，不只是黑人，只要是找过外国人的我都不能接受,0,1,0,0,0,"To add, it's not just black people. I can't accept any foreigners."
zho_5ba99bae99eee4b1f11432a28a072545,好讽刺，目前官方上宣传的友好国家都是民间歧视华人最厉害的,1,1,0,0,0,It's ironic that the friendly countries that are being officially promoted are the ones that discriminate against Chinese people.
