id,text,polarization,text_en
pol_6d67fb8992272fe6c33380368a20cc6e,"Nazwisko dostał wyrok za to, że zrobił prowokację której NIE MIAŁ PRAWA zrobić.",0,The name got a conviction that he did a provocation he didn't have the right to do.
pol_b69082bf53e93ad5fdbd13197b51c7f2,"dawaj wiecej tego pojebanego, bezbeckiego gówna, plus",0,"Give me more of that fucked-up, bullshit, plus"
pol_8bf104631bc0e736c0f6d21c0551e41c,"nie zwolnia, ostatnio w radiu mowili ze nowe wakaty beda i to w tysiacach...",0,"He's not slowing down, and recently on the radio they said that new vacancies would be in thousands..."
pol_0a7433db3ccdda325f09450b74fa7a2d,Zebrać materiał genetyczy i replikować.,0,Collect genetic material and replicate.
pol_bd4feb8704fe71133dad9edd027ca73b,"No żeby uzyskać odporność bez przechodzenia/namnażania/zarażania/mutowania - unikając zgonów, lockdownów, obostrzeń, blokowania szpitali ... 
 
 
 i to wszystko robił młody zdrowy ozdrowieniec?",0,"Well, to gain immunity without passing / multiplying/infecting/mutating - avoiding deaths, lockdowns, sharpenings, blocking hospitals... and all this was done by a healthy young healer?"
pol_829e7772125449bd102f23b9e14a5afb,"tak , ręce bym polamal za dewastacje obiektu",0,"Yes, my hands would fall for the destruction of the object."
pol_fe254337625b40e754946b3700c77f63,Szkoda że nie można tam spuścić takiej bombki z gwoździkami ( ͡° ͜ʖ ͡°),1,It's a pity you can't drop a bauble like that with nails in it.
pol_0555af3ee3d4f3a2532c0c184141abc5,"bo to jedna banda realizująca plany globalistów, kiedy do was dojdzie że Polsko-Polska wojna pis-po to tylko teatrzyk dla goja?",1,"'Cause it's one bunch of globalists' plans, when it comes to you that the Polish-Polish piss-po war is just a goy theater?"
pol_1f5ea2ae9f609675c0a5d9ed77dd5bc5,"ja, jak leci luis de funes.",0,"Me, how's it going, luis de funes."
pol_d415c27204d001dac098409e7f5b9d8e,"Kochać Białych. 
 Jebać czarnych. 
 Bo jebanie to taka mocniejsza miłość.",1,"Love the Whites, fuck the blacks, 'cause fucking is so much more love."
